Users	Hotel
1	2
2	39
3	56
4	37
5	56
6	17
7	60
8	17
9	17
10	60
11	41
12	49
13	17
14	17
15	17
16	17
17	39
18	60
19	60
20	17
21	60
22	37
23	56
24	2
25	19
26	60
27	56
28	56
29	56
30	6
31	17
32	2
33	57
34	56
35	60
36	39
37	6
38	17
39	2
40	14
41	17
42	46
43	6
44	6
45	56
46	39
47	17
48	39
49	60
50	3
51	56
52	53
53	37
54	53
55	2
56	56
57	39
58	6
59	2
60	56
61	17
62	17
63	17
64	12
65	17
66	39
67	56
68	56
69	17
70	17
71	41
72	6
73	63
74	60
75	26
76	17
77	56
78	39
79	56
80	56
81	39
82	7
83	56
84	56
85	49
86	6
87	60
88	17
89	2
90	17
91	17
92	2
93	55
94	57
95	56
96	56
97	6
98	55
99	39
100	39
101	39
102	56
103	39
104	56
105	56
106	19
107	41
108	60
109	56
110	17
111	56
112	12
113	52
114	56
115	60
116	3
117	56
118	10
119	18
120	60
121	60
122	41
123	6
124	56
125	39
126	21
127	4
128	18
129	56
130	10
131	39
132	10
133	39
134	60
135	4
136	39
137	39
138	39
139	19
140	17
141	37
142	45
143	2
144	56
145	15
146	17
147	18
148	41
149	17
150	37
151	17
152	17
153	37
154	18
155	17
156	56
157	7
158	2
159	39
160	14
161	39
162	39
163	37
164	18
165	56
166	56
167	53
168	60
169	56
170	2
171	56
172	23
173	56
174	17
175	59
176	17
177	18
178	15
179	6
180	38
181	60
182	56
183	4
184	39
185	56
186	56
187	17
188	56
189	39
190	39
191	10
192	14
193	39
194	55
195	56
196	53
197	37
198	56
199	17
200	56
201	37
202	37
203	17
204	37
205	56
206	56
207	38
208	60
209	60
210	60
211	37
212	17
213	66
214	56
215	60
216	17
217	39
218	4
219	65
220	37
221	17
222	17
223	10
224	56
225	18
226	56
227	10
228	17
229	17
230	17
231	17
232	17
233	6
234	37
235	5
236	4
237	60
238	53
239	17
240	12
241	56
242	53
243	56
244	39
245	56
246	56
247	66
248	37
249	41
250	6
251	60
252	56
253	60
254	56
255	60
256	45
257	17
258	66
259	17
260	56
261	37
262	53
263	17
264	56
265	13
266	60
267	39
268	14
269	39
270	56
271	39
272	2
273	60
274	37
275	17
276	10
277	39
278	39
279	12
280	41
281	39
282	6
283	17
284	60
285	2
286	17
287	39
288	17
289	14
290	4
291	60
292	39
293	37
294	37
295	60
296	17
297	2
298	17
299	10
300	60
301	15
302	39
303	46
304	56
305	53
306	26
307	2
308	17
309	56
310	17
311	37
312	41
313	2
314	39
315	56
316	4
317	10
318	6
319	18
320	10
321	15
322	23
323	23
324	17
325	56
326	46
327	39
328	37
329	6
330	39
331	6
332	56
333	60
334	18
335	56
336	41
337	56
338	4
339	17
340	39
341	21
342	39
343	17
344	56
345	6
346	39
347	60
348	41
349	37
350	56
351	39
352	17
353	37
354	2
355	60
356	17
357	17
358	56
359	17
360	60
361	56
362	41
363	15
364	12
365	17
366	17
367	17
368	14
369	39
370	41
371	39
372	60
373	17
374	10
375	2
376	39
377	56
378	55
379	56
380	56
381	57
382	39
383	56
384	17
385	10
386	17
387	4
388	39
389	56
390	37
391	2
392	39
393	56
394	45
395	60
396	3
397	39
398	14
399	41
400	63
401	39
402	56
403	60
404	60
405	18
406	56
407	56
408	17
409	49
410	17
411	17
412	56
413	18
414	6
415	60
416	60
417	18
418	17
419	12
420	6
421	37
422	56
423	56
424	41
425	5
426	56
427	2
428	6
429	17
430	26
431	56
432	17
433	17
434	18
435	56
436	2
437	39
438	56
439	17
440	17
441	5
442	39
443	37
444	60
445	56
446	60
447	37
448	17
449	56
450	59
451	56
452	56
453	2
454	60
455	2
456	56
457	59
458	10
459	37
460	37
461	56
462	60
463	17
464	4
465	17
466	60
467	56
468	65
469	56
470	17
471	39
472	2
473	56
474	39
475	10
476	56
477	39
478	17
479	55
480	2
481	56
482	56
483	26
484	63
485	60
486	66
487	56
488	56
489	39
490	17
491	39
492	39
493	38
494	56
495	41
496	37
497	45
498	10
499	7
500	17
501	60
502	56
503	37
504	23
505	6
506	60
507	56
508	2
509	17
510	6
511	56
512	56
513	39
514	17
515	2
516	14
517	57
518	56
519	17
520	56
521	17
522	17
523	37
524	39
525	56
526	17
527	56
528	17
529	56
530	56
531	4
532	66
533	41
534	10
535	15
536	6
537	56
538	4
539	17
540	14
541	2
542	26
543	39
544	48
545	39
546	46
547	56
548	18
549	56
550	6
551	56
552	17
553	43
554	12
555	37
556	56
557	17
558	37
559	17
560	60
561	37
562	55
563	18
564	39
565	45
566	2
567	56
568	12
569	17
570	5
571	41
572	56
573	56
574	18
575	41
576	56
577	39
578	60
579	17
580	45
581	55
582	7
583	56
584	10
585	56
586	56
587	60
588	39
589	37
590	6
591	18
592	56
593	2
594	17
595	26
596	17
597	17
598	2
599	60
600	17
601	19
602	45
603	37
604	59
605	56
606	39
607	6
608	17
609	56
610	39
611	17
612	53
613	56
614	17
615	17
616	39
617	39
618	60
619	17
620	17
621	37
622	17
623	17
624	56
625	61
626	17
627	46
628	39
629	66
630	10
631	57
632	15
633	39
634	56
635	62
636	60
637	4
638	65
639	2
640	56
641	2
642	56
643	6
644	56
